Marca de Tiempo,Uso de Memoria (%)
10:25:41,52.5
10:25:42,52.3
10:25:43,52.4
10:25:44,52.3
10:25:45,52.3
10:25:46,52.3
10:25:47,52.3
10:25:48,52.3
10:25:49,52.3
10:25:50,52.4
10:25:51,52.3
10:25:52,52.3
10:25:53,52.3
10:25:54,52.4
10:25:55,52.5
10:25:56,52.6
10:25:57,52.6
10:25:58,52.7
10:25:59,52.6
10:26:00,52.6
10:26:01,52.5
10:26:02,52.4
10:26:03,52.4
10:26:04,52.4
10:26:05,52.5
10:26:06,52.5
10:26:07,52.4
10:26:08,52.6
10:26:09,52.7
10:26:10,52.4
10:26:11,52.3
10:26:12,52.5
10:26:13,52.5
10:26:14,52.4
10:26:15,52.5
10:26:16,52.5
10:26:17,52.5
10:26:18,52.5
10:26:19,52.2
10:26:20,52.1
10:26:21,52.1
10:26:22,52.1
10:26:23,52.1
10:26:24,52.1
10:26:25,52.2
10:26:26,52.2
10:26:27,52.2
10:26:28,52.1
10:26:29,52.1
10:26:30,52.2
10:26:31,52.4
10:26:32,52.3
10:26:33,52.5
10:26:34,52.4
10:26:35,52.4
10:26:36,52.4
10:26:37,51.6
10:26:38,51.6
10:26:39,51.6
10:26:40,51.6
10:26:41,51.5
10:26:42,51.5
10:26:43,51.5
10:26:44,51.8
10:26:45,51.7
10:26:46,51.6
10:26:47,51.5
10:26:48,51.4
10:26:49,51.3
10:26:50,51.3
10:26:51,51.8
10:26:52,51.7
10:26:53,51.6
10:26:54,51.6
10:26:55,51.6
10:26:56,51.5
10:26:57,51.5
10:26:58,51.5
10:26:59,51.5
10:27:00,51.5
10:27:01,51.4
10:27:02,51.4
10:27:03,51.3
10:27:04,51.3
10:27:05,51.3
10:27:06,51.3
10:27:07,51.3
10:27:08,51.3
10:27:09,51.3
10:27:10,51.2
10:27:11,51.2
10:27:12,51.4
10:27:13,51.3
10:27:14,51.3
10:27:15,51.3
10:27:16,51.3
10:27:17,51.3
10:27:18,51.3
10:27:19,51.3
10:27:20,51.3
10:27:21,51.4
10:27:22,51.4
10:27:23,51.4
10:27:24,51.3
10:27:25,51.6
10:27:26,51.4
10:27:27,51.3
10:27:28,51.3
10:27:29,51.3
10:27:30,51.3
10:27:31,51.3
10:27:32,51.3
10:27:33,51.3
10:27:34,51.2
10:27:35,51.2
10:27:36,51.2
10:27:37,51.4
10:27:38,51.3
10:27:39,51.3
10:27:40,51.3
10:27:41,51.3
10:27:42,51.3
10:27:43,51.3
10:27:44,51.3
10:27:45,51.3
10:27:46,51.2
10:27:47,51.2
10:27:48,51.2
10:27:49,51.2
10:27:50,51.2
10:27:51,51.2
10:27:52,51.2
10:27:53,51.2
10:27:54,51.0
10:27:55,51.0
10:27:56,51.0
10:27:57,51.0
10:27:58,51.3
10:27:59,51.2
10:28:00,51.2
10:28:01,51.2
10:28:02,51.2
10:28:03,51.2
10:28:04,51.2
10:28:05,51.2
10:28:06,51.2
10:28:07,51.3
10:28:08,51.3
10:28:09,51.5
10:28:10,51.5
10:28:11,51.1
10:28:12,51.1
10:28:13,51.1
10:28:14,51.1
10:28:15,51.4
10:28:16,51.3
10:28:17,51.2
10:28:18,51.2
10:28:19,51.2
10:28:20,51.2
10:28:21,51.2
10:28:22,51.2
10:28:23,51.1
10:28:24,51.1
10:28:25,51.1
10:28:26,51.1
10:28:27,51.5
10:28:28,51.8
10:28:29,51.8
10:28:30,51.8
10:28:31,51.7
10:28:32,51.7
10:28:33,51.7
10:28:34,51.7
10:28:35,51.7
10:28:36,51.7
10:28:37,51.6
10:28:38,51.6
10:28:39,51.6
10:28:40,51.6
10:28:41,51.6
10:28:42,51.6
10:28:43,51.5
10:28:44,51.5
